Name,Address,Latitude,Longitude,Type
Nicat market (Z. Hacıyev küç. ilə kəsişməsi),"Gəncə, Üzeyir Hacıbəyov küç. (Z. Hacıyev küç. Kəsişməsi) Nicat market",40.71083725084026,46.376986340737,atm
Maxi Market - 1,"Gəncə şəhəri, Maxi market",40.67081847684641,46.37643392091075,atm
Sevimli market - Gülüstan,"Göygöl rayonu, Qızıl qaya qəsəbəsi Gəncə Kəlbəcər yolu M.Ş.Vazeh küç.64 (""Sevimli"" market)",40.639995,46.339050,atm
Metro market,"Gəncə şəhəri, Ş.Şəddadilar küç.. (""Metro"" market)",40.688130530087555,46.35228814930942,atm
Həsən market,Gəncə şəhəri (Həsən market),40.68702083480114,46.375527204174574,atm
Gəncə Güllər market,"Gəncə, Atatürk prospekti , 261",40.696967,46.374950,atm
Maxi Market - 2,"Gəncə ş., H.Əliyev pr. 44A, ""Maxi market""",40.705671,46.366488,atm
Meqa market (Gəncə),Ş.İ.Xətai pr. Ev 97(MEQA market),40.697332,46.357009,atm
Bazarstore market (Xoyski küç.),GƏNCƏ ŞƏH.FƏTƏLİ XAN XOYSKİ KÜÇ,40.68176422482345,46.36232296818081,atm
Orxan market,"Gəncə, Z.Hacıyev küçəsi 30 (Gəncə Dəmir Yol Vağzalı)",40.70985144740438,46.36712269558923,atm
Oba market (İ. Qayıbov),"Gəncə şəh., İ.Qaibov küç. 195 (Oba market)",40.660912,46.340420,atm
Malikoğlu market,"Gəncə ş., S. Rəhimov küç. 58 (Malikoğlu market)",40.64765391103091,46.3739075561145,atm
OBA market (Gülüstan qəsəbəsi),"Gəncə, Gülüstan qəsəbəsi, (Oba market 61)",40.644512958500634,46.344169901569735,atm
Oba market (Azərbaycan küçəsi),"Gəncə, Azərbaycan küç., döngə 3, ev 3 (Oba market)",40.715510354612526,46.36919808454821,atm
AL market (Gəncə),"Gəncə, Nizami r-nu, Mahrasa bağı, Ş.Rustaveli küç,73",40.674912962811256,46.34291614263309,atm
Gold Əminə (Göyçay),Göygöl şəhəri Azay Kazımov 1 (Gold Əminə market),40.591753,46.320091,atm
Poçt 21 (Gəncə ),"Gəncə, Məhsəti qəs. (Poçt)",40.720589,46.399607,atm
Oba market (Qəmbər H. küç.),"Gəncə şəh., Nizami rayonu, Qəmbər Hüseyinli küç.2",40.682654152203234,46.355966852856284,atm
Oba market (Abbaszadə küç.),"Gəncə, Nizami rayonu, A.Abbaszadə  E 32 (Oba market)",40.673112276851136,46.356629109734776,atm
Avtovağzal (Gəncə),"Gəncə, Avtozavod küçəsi 1 (Avtovağzal)",40.69490799903645,46.36624591570782,atm
Oba market (Nərimanov küç.),"Gəncə, Nərimanov k.194 (Oba market)",40.66610706742961,46.361184430837284,atm
Gəncə Alüminiumçular,"Gəncə ş., Ş.İ. Xətai pr. 84",40.686575507383694,46.386988604846174,atm
Yeni Gəncə market,"Gəncə, Yeni Gəncə qəsəbəsi, (Gəncə şəhəri Nizami rayon icra hakimiyyəti)",40.680183,46.358832,atm
Aptek (Aşıq Ələsgər küç.),"Gəncə, Aşıq Ələsgər 31",40.65614147037462,46.367216857759935,atm
Poçt (Hacıkənd),"Gəncə, Hacıkənd qəsəbəsi, Azərbaycan küç. 20, qəsəbə poçtu",40.514488220214844,46.32265090942383,atm
Oba market (Təbriz küç.),"Gəncə, Təbriz küç., 292",40.66232020663183,46.316486471004325,atm
GƏNCƏ MEHMANDAROV ARAZ M,"Gəncə, Mehmandarov küçəsi (Araz market)",40.674658,46.334370,atm
Oba market (Kəpəz),"Gəncə şəh., Kəpəz rayon DOS-102, 146 nomrəli binanın şərq tərəfi",40.69802214603583,46.35498769205732,atm
ABB-nin Gəncə filialı,"Gəncə, ABB-nin Gəncə filialı",40.667885589623694,46.35421889072551,atm
Delfin market (Gəncə),Gəncə ş. Pərviz Səmədov 12 (Delfin market),40.679356,46.350109,atm
FAMA market (Gəncə),"Gəncə ş., FAMA market",40.71877375410452,46.35380144423876,atm
Oba market (Nərimanov küç.),"Gəncə, Kəpəz r-nu, N.Nərimanov küç.14",40.680022638664894,46.386754210882145,atm
"""Gəncə"" mehmanxanası","Gəncə, Ş.İ.Xətai prospekti 155 (""Gəncə"" mehmanxanası)",40.67983472562637,46.3608138940871,atm
Məcburi köçkünlər qəsəbəsi (Kəpəz),"Gəncə şəhəri, Kəpəz məcburi köçkünlər qəsəbəsi, ""Hacıməlik"" 600 ( mağaza )",40.66543078042121,46.45306484976036,atm
Nur market (Gəncə),"Gence, Sadilli qes., mehelle e-3 sahe 19 (“Nur” market)",40.7086722,46.3559315,atm
Bazarstore market (Nərimanov),GANCA Nəriman Nərimanov pr,40.674790,46.369978,atm
"""Detal Alüminiy"" zavodu","Gəncə, ""Detal Alüminiy"" zavodu",40.68655176009785,46.42680254923436,atm
Mega market (Goranboy),"Goranboy, H.Əliyev prospekti (Mega market)",40.6024404,46.7798901,atm
Ağcakənd kəndi (Mağaza),"Goranboy, Goranboy, Ağcakənd kəndi (Ərzaq mağazası )",40.4210013,46.5704388,atm
XL market (Göyçay),Göyçay rayonu Bərgüşad yolu,40.6350061,47.7579344,atm
Ləkçıplaq kəndi (Göyçay),"Göyçay rayonu, Ləkçıplaq kəndi",40.5806563,47.8065966,atm
Bolluq Kəndimiz (Göyçay),Göyçay r. (Bolluq Kəndimiz),40.649875804889035,47.725107250830376,atm
Qızılağac market (Göyçay),"Göyçay rayonu,Qızılağac kəndi.Qızılağac market",40.568960,47.766780,atm
Xəstəxana (Göyçay),"Göyçay şəhəri, Nizami küçəsi 134",40.6578618,47.7514585,atm
Dəniz market (Göyçay),Göyçay rayonu Mallı Şıxlı kəndi (Dəniz market),40.586315,47.6930619,atm
Nar market (Göyçay),"Göyçay şəhəri, H.Əliyev prospekti 42",40.650092,47.739047,atm
Grand market (Göyçay),"Göyçay ş., Natəvan küç., 49-cu məhəllə",40.6387758,47.7388978,atm
Poçt (Qaraməryəm),"Göyçay , Qaraməryəm (Poçt)",40.615055084228516,48.01321792602539,atm
Balmart market (Göygöl),Göygöl şəhəri (Balmart marketi),40.580935,46.323174,atm
Gold Əminə market (Göygöl),"Göygöl, 28 May küç. 3 (Gold Əminə market)",40.58438055454058,46.32713979777223,atm
Balçılı kəndi (Göygöl),Göygöl Balçılı kəndi,40.70163449171468,46.28085693051547,atm
“Qədirxum” restoranı (Hacıqabul),Bakı-Qazax magistralının Hacıqabul rayon ərazisi “Qədirxum” restoranı,40.019351,48.953950,atm
Oba market (Hacıqabul),"Hacıqabul ş., Heydər Əliyev prospekti",40.0446401,48.9350715,atm
Səyyar ATM - Hadrut,Hadrut,Səyyar,Səyyar,atm
ABB-nin İmişli filialı,İmişli şəhəri H.Əliyev pr. 146,39.8697496,48.0591736,atm
ABB-nin İmişli filialı,"İmişli, Imişli ş., M.Əsədov küç., 1 (ABB-nin İmişli filialı)",39.8697496,48.0591736,atm
Yaşıl market,"İmişli şəh., Çaxırlı kəndi, ""Yaşıl"" market",39.7431265,48.0017707,atm
Sərfəli market,Biləsuvar rayonu 3 saylı Cəbrayıl qəsəbəsi,39.705208,48.055671,atm
İmişli - Ailəm market,İmişli şəhəri N.Savalanov küçəsi (Ailəm market),39.860772,48.062889,atm
Bizim market (İvanovka k.),"İsmayıllı, İvanovka kəndi (Bizim market)",40.744335,48.035809  ,atm
ABB-nin İsmayıllı filialı - 1,"İsmayıllı , Cavanşir küçəsi 21A (ABB-nin İsmayıllı filialı)",40.785185755946756,48.148832691677796,atm
İsmayıllı market,İsmayıllı şəh Ərəstun Mahmudov küçəsi (İsmayıllı market),40.79271532791891,48.169611422364035,atm
İsmayıllı xəstəxana,"İsmayıllı , Axundov küçəsi 65 (Xəstəxana)",40.780207899689216,48.158922848125826,atm
Sərhəd market (Lahıc),"İsmayıllı r., Lahıc yolu",40.732443,48.281610,atm
Mustafa market,İsmayıllı şəhəri Cavanşir küçəsi (Mustafa Market),40.78837644822651,48.14818636103082,atm
Kəlbəcər,Kəlbəcər rayonu,40.11231758599875,46.04005736537025,atm
Qaz idarəsi,"Kəngərli rayon, Qaz idarəsi",39.41259555672917,45.1211206190765,atm
Efi market,"Kürdəmir rayonu, Efi market",40.32826396707835,48.14812618465529,atm
Poçt (Kürdəmir),"Kürdəmir, Kürdəmir, H.Əliyev prospekti 19 (poçt)",40.34572111057594,48.14701402079077,atm
Bolmart (Kürdəmir),Kürdəmir ş. Babək pr-ti,40.351643,48.162422,atm
ABB-nin Kürdəmir filialı,H.Əliyev prospekti 14 (ABB-nin Kürdəmir filialı),40.345717,48.147349,atm
Kürdəmir Arif market,"Kürdəmir, Kürdəmir-Ağsu şossesinin sol tərəfində yerləşən “Arif Market” mağazası",40.380251,48.184177,atm
Oba market (Kürdəmir),"Kürdəmir, Atakişili kəndi",40.336139,48.151694,atm
Oba market (Mollakənd),"Kürdəmir rayonu, Molla kənd (Oba market)",40.115967,48.099909,atm
Karrar kəndi,"Kürdəmir rayonu, Karrar kəndi",40.303571,48.261652,atm
EDU market (Kürdəmir),"Kürdəmir, Sığırlı kəndi,  EDU market",40.256074,48.409077,atm
Oba market (Lerik),"Lerik, İsmayıl Yaqubov küçəsi (Oba market)",38.7713032637467,48.420164802598414,atm
Lənkəran şəhər Maliyyə İdarəsi,"Lənkəran şəhəri, Heydər Əliyev prospekti,74 Lənkəran şəhər Maliyyə İdarəsi",38.765647163778816,48.85237758792672,atm
Şağlaser kəndi (Ay işığı),"Lənkəran, Şağlaser kəndi (Ay işığı)",38.85652510403561,48.7482181314667,atm
Favorit market (Lənkəran),"Lənkəran rayonu, Şürük kəndi (Favorit market)",38.69654083251953,48.81938171386719,atm
ABB-nin Lənkəran filialı - 1,"Lənkəran ş , Ş.Axundov küçəsi,16 a (Lənkaran filialının inzibati binası)",38.75389236817951,48.85536031218073,atm
Bazarstore (Nizami küçəsi),"Lənkəran şəhəri, Nizami küçəsi, 21-ci məhəllə",38.759006,48.834747,atm
Lənkəran Mərkəzi Xəstəxanası,"Lənkəran şəhəri, Nizami 67 küçəsi ( Mərkəzi xəstəxananın ərazisi )",38.75902994400665,48.839270827122306,atm
Müalicə Diaqnostika Mərkəzi (Lənkəran),"Lənkaran şəhəri, H.Əliyev prospekti, 303, Müalicə Diaqnostika Mərkəzi",38.782632,48.841864,atm
ABB-nin Lənkəran filialı - 2,"Lənkəran şəhəri, Ş.Axundov 16 (Lənkəran filialının inzibati binasının daxilində)",38.75389236817951,48.85536031218073,atm
ABB-nin Lənkəran filialı - 3,"Lənkəran şəhəri, Ş.Axundov 16 (Lənkəran filialının inzibati binasının daxilində)",38.75389236817951,48.85536031218073,atm
Pibon market (Lənkəran),"Lənkəran şəhəri, Liman qəsəbəsi, Teymur Rəcəbov küç. 1 (Pibon Market)",38.877864837646484,48.80789566040039,atm
Bazarstore (Masallı),Masalli (Bazarstore),39.0230945,48.6689756,atm
Rahat market (Masallı ),"Masallı,  H.Əliyev Prospekti (Rahat market)",39.026735,48.664782,atm
Market (Yevlax),Mingəçevir şəhəri Heydər Əliyev prospekti bina 542,40.757251,47.082679,atm
Bazar store (Mingəçevir),"Mingəçevir şəhəri, Nizami küçəsi 4",40.77265114913743,47.047365815237264,atm
Təbriz küçəsi,"Mingəçevir şəhəri, Sağ sahil, Təbriz küçəsi",40.77271892480843,47.02302420763618,atm
5+ market (Nizami küçəsi),"Mingəçevir, Nizami küç. 13",40.76156509641441,47.05873221201858,atm
"Araz market (Mingəçevir, Az.Dres qəsəbəsi)","Mingəçevir şəhər, AZ.DRES qəsəbəsi (Araz market)",40.769875,46.998646,atm
Qədiroğlu (20 yanvar küç.),Mingəçevir şəhər 20 Yanvar küçəsi 15,40.762267728097456,47.04789145909993,atm
5+ market (Ş.İ.Xətai küç.),"Mingəçevir, Ş.İ.Xətai küç. 7A (""5+1"" market)",40.75679684607236,47.06375321857951,atm
Araz market (Mingəçevir),"Mingəçevir şəh., Heydər Əliyev pros. (Araz market)",40.771339,47.041057,atm
Embawood (Mingəçevir),Mingəçevir şəhəri H.Əliyev pr kolxoz bazarı,40.767829,47.056671,atm
Qədiroğlu market (AZDRES),"Mingəçevir şəhəri, AZDRES qəsəbəsi",40.7695367025998,46.98956992471116,atm
5+ market (M.Maqomayev küç.),"Mingəçevir şəhəri, M.Maqomayev küçəsi, 16/1 ( ""5+"" market )",40.767231,47.045919,atm
Oba market (Naftalan),"Naftalan şəh, İ.Həsənzadə küç 22/1B (Oba market)",40.5088266,46.8130938,atm
Hərbi şəhərcik (Təlim-tədris binası),"Naxçıvan şəhəri,hərbi şəhərcikdə (Təlim-tədris binası)",39.225676,45.406456,atm
Naxçıvan Tikiş Fabriki,"Naxçıvan şəh., İdris Məmmədov küçəsi 1 (Naxçıvan Tikiş Fabriki)",39.201103,45.412581,atm
Bolmart (Naxçıvan),"Naxçıvan, Əziz Əliyev küç. (Bolmart market)",39.208671,45.407789,atm
Naxçıvan şəhər İcra Hakimiyyəti,"Naxçıvan, H.Əliyev prospekti (Naxçıvan şəhər İcra hakimiyyəti)",39.217378,45.408321,atm
Sənaye Malları Mağazası (Bulqan kəndi),"Naxçıvan şəhəri, Bulqan Kəndi (Sənaye Malları Mağazası)",39.188050,45.378157,atm
Gənclik Ticarət Mərkəzi,"Naxçıvan, Pişəvəri küçəsi (Gənclik Ticarət Mərkəzi)",39.220879,45.407274,atm
Reyhan market,"Naxçıvan,Bahadur Abbasov küçəsi, ""Reyhan"" market",39.200934,45.421690,atm
Aviakassa (Cəlil Məmmədquluzadə küç),"Naxçıvan, Cəlil Məmmədquluzadə küçəsi, Aerokassa",39.202626,45.410540,atm
Caman Market (Gömrük İdarəsi),Naxçıvan şəhəri Çəmən market,39.193341,45.409979,atm
Limon market,"Naxçıvan şəhəri, Limon market",39.217445,45.402140,atm
Oba market (Nizami küçəsi),"Neftçala r., Nizami Gəncəvi küç. (Oba market)",39.3762951,49.2478822,atm
Oba market (Əsədov küçəsi),"Neftcala seheri, M.Esedov kucesi",39.38552138836381,49.24320310011082,atm
