Name,lat,lon,Category,Address,Working Hours,Phone
Araz Xalqlar Supermarket,40.402458,49.950615,Supermarket,"Nizami rayonu, Q.Qarayev prospekti 93 L",07:00 - 23:00,055-400-85-19
Araz Masazır-3 Superstore,40.458031,49.756222,Superstore,"Abşeron rayonu, Masazır qəsəbəsi, Bakı-Sumqayıt yolu",07:00 - 00:00,055-515-85-09
Spar 28 May Ekspress,40.377731,49.852070,Spar,"Nəsimi rayonu, Səməd Vurğun küçəsi 50",08:00 - 23:00,055-400-85-21
Araz Nərimanov-3 Minimarket,40.402119,49.874187,Mini,"Nərimanov rayonu, N.Hacıyev və F.Yusifov küçəsinin kəsişməsi, 1950-ci məhəllə",07:00 - 23:00,055-400-85-20
Spar Memar Əcəmi Express,40.410172,49.814663,Spar,"Nəsimi rayonu, 5-ci mkr, Cavadxan küçəsi, 3005-ci məhəllə",07:00 - 23:00,055-400-85-22
Araz Günəşli-2 Ekspress,40.368992,49.975765,Express,"Suraxanı rayonu, Yeni Günəşli D yaşayış sahəsi, 26-cı bina",07:30 - 23:00,055-400-85-24
Araz Qum adası Ekspress,40.348434,49.998703,Express,"Suraxanı rayonu, Zığ-Hövsan şossesi, Qum adası yolu",07:30 - 23:00,055-400-85-25
Araz Buzovna-3 Minimarket,40.523682,50.099937,Mini,"Xəzər rayonu, Zaqulba qəsəbəsi, R.İmanov küçəsi",07:30 - 23:00,055-400-85-28
Araz 7-ci mkr Express,40.432804,49.850559,Express,"Binəqədi rayonu, 7 mkr, 3123-cü məhəllə",07:00 - 23:00,055-400-85-26
Spar Axundov Ekspress,40.368496,49.830379,Spar,"Səbail rayonu, 129-cu məhəllə,  Əhməd Cavad küçəsi 3",24\7,055-400-85-37
Araz 6-cı mkr Ekspress,40.425941,49.830589,Express,"Binəqədi rayonu, 6-cı mkr, Svetlana Məmmədova küçəsi 209 F",07:00 - 23:00,055-400-85-38
Araz Sumqayıt-5 Minimarket,40.566978,49.685425,Mini,"Sumqayıt şəhəri, 9-cu mkr Ü.Hacıbəyov və Koroğlu küçələrinin kəsişməsi",24\7,055-400-85-32
