name,fullName,address,lat,lon
Araz supermarket (UPD),,UPD qes.,40.38643,49.90605
Megastore supermarket,,"Xatai-nu, X.Mammedov kuc., 1 C",40.372705,49.944818
Şusa market,,"Xatai r-nu, Cavadxan kuc., 3",40.378835,49.948194
Bizim market Gence pr.,,"Xatai r-nu, Gence pr, 105",40.353918,49.96256
Megastore supermarket,,"Xatai r-nu, General Shixlinski kuc., 2",40.381467,49.964396
Megastore supermarket,,"Xatai r-nu, Kohne Gunesli qes, I.Ismayilov kuc, ev 5C",40.368818,49.972458
NAR Ahmedli,,"Xatai r-nu., M.Hadi kuc., 23/24",40.385082,49.95409
“Elit Optimal” Xalqlar,,"Xatai r-nu, M.Hadi kuc.,  49C",40.390701,49.954198
Bazarstore Ukraina,,"Xatai r-nu., M.Hadi kuc., 58",40.397425,49.951995
Grandmart H.Aslanov,,"Xatai r-nu., M.Hadi kuc., 75",40.371511,49.953608
Kaspi International School,,"Xatai r-nu, N.Aliyev kuc., 26",40.385071,49.870695
Gunesh market,,"Xatai r-nu., Nobel pr. 141",40.375696,49.919876
Rahat supermarket Nobel,,"Xatai r-nu, Nobel pr., 189 A",40.371174,49.931146
SAF Market,,"Xatai r-nu, q.Mammedov kuc., ev 7A, m. 9, 2947 meh.",40.370036,49.947855
Xalqlar Dostlugu M/S,,"Xatai r-nu, Q.Qarayev pr.",40.397087,49.952824
DOLU mağaza Əhmədli,,"Xatai r-nu, Sarayevo kuc., ev 32",40.386087,49.956614
Bizim market Sarayevo 2,,"Xatai r-nu, Sarayevo kuc, ev 8C",40.386031,49.955821
Bakcell Əhmədli,,"Xatai r-nu, Sarayevo kuc., ev E, 2322-ci meh.",40.386546,49.95416
Real-S super market,,"Xatai r-nu, Seyid Azim Sirvani kuc., 78",40.392892,49.960948
Dost Mart,,"Xatai r-nu, Shixlinski kuc., 15",40.375962,49.964856
Freshmart,,"Xatai r-nu, S.Orucov kuc.",40.381119,49.86895
DOLU mağaza Xətai,,"Xatai r-nu, Suleyman Vezirov kuc., ev 25 A",40.384421,49.872246
Araz supermarket Xətai,,"Xatai r-nu, S.Vezirov kuc., 64 A",40.385349,49.868763
Bazarstore Nargile,,"Xatai r-nu., Zig sossesi 5",40.368488,49.938885
Bizim market Sarayevo,,"Xetai r-nu, Axmedli STQ, Sarayevo kuc, ev 23 2346-2347 ci meh.",40.394663,49.935469
Rahat Market,,"Xətai r-nu, Inqlab Ismayilov kuc., 8",40.36001,49.96977
Ocaq market,,"Xezer r-nu, Bine qes., Bine saxvoz,",40.419568,50.106091
