lat,lon,type,company,name
38.908166,46.021242,competitor,abb,Qapıcıq ticarət mərkəzi
38.945438,45.826706,competitor,abb,Məişət evi (Sabir Dizə kəndi)
40.455673,50.337098,competitor,abb,Laçın Market (Pirallahı)
40.468143,50.326045,competitor,abb,Oba market (Pirallahı)
40.45951461791992,50.33545684814453,competitor,abb,Araz market (Pirallahı)
40.226955,49.575993,competitor,abb,Sahil Optimal
40.32605743408203,49.74203109741211,competitor,abb,"Oba market (Lökbatan, 28 May küç.)"
40.26524907348759,49.66529621561048,competitor,abb,Gəmiqayırma zavodu
40.166751861572266,49.46155548095703,competitor,abb,Oba market (Sabir küç.)
39.95484161376953,49.408084869384766,competitor,abb,Coşqun market (Qaradağ)
40.226876,49.583904,competitor,abb,Rifah market (Qaradağ)
40.32728576660156,49.71882629394531,competitor,abb,"Oba market (Lökbatan, D.Bünyadzadə küç.)"
40.296492,49.752394,competitor,abb,Socar YDM (Bakı-Səlyan şossesi) - 1
39.967448,49.409069,competitor,abb,Socar YDM (Bakı-Səlyan şossesi)
40.34317398071289,49.751800537109375,competitor,abb,Grandmart (Qobu)
40.08033752441406,49.4132080078125,competitor,abb,Qobustan İdeal market
40.083529059362924,49.41202043201628,competitor,abb,Qobustan - Təbriz market
40.299558085073855,49.66176516206742,competitor,abb,Puta qəs. (Oba market)
40.32234573364258,49.73484420776367,competitor,abb,"Lökbatan, 28 May küçəsi"
40.283416748046875,49.7291259765625,competitor,abb,Hərbi hissə (Qaradağ)
41.41997213788232,46.91745062045867,competitor,abb,Aydan market (Qax)
41.43002805615341,46.958456888706884,competitor,abb,Oğuz-Qax-İlisu yolu
41.415880579418754,46.90333256762513,competitor,abb,El Dost market (Qax)
41.390415,46.745077,competitor,abb,"""Stop"" market (Qax)"
41.089988,45.358857,competitor,abb,ABB-nin Qazax filialı - 1
41.096981,45.377598,competitor,abb,Qazax - Bazarstore
41.094810945647815,45.365615596889,competitor,abb,7 gözəl ticarət mərkəzi
41.089427,45.352479,competitor,abb,Göyçə market (Qazax)
41.240084496571846,45.263357940062775,competitor,abb,Market (Yuxarı Salahlı)
41.13504031365082,45.266065341406026,competitor,abb,Əsədoğlu market (Daş Salahlı)
41.09803950538207,45.342922309969794,competitor,abb,Murad market
41.22004754785183,45.12276684184158,competitor,abb,Elvin market (Qazax)
41.096924507411124,45.35013761924103,competitor,abb,İK market
41.097373,45.377244,competitor,abb,Avropa market (Qazax)
