"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","city","verified","photos","state","description"
"0x403086558c0ab2c7:0x48a57d4db8a4b12a","","Khojasan","Khojasan, Baku, Azerbaijan","40.421172","49.778937","16","4.9","Asia/Baku","","ChIJx7IKjFWGMEARKrGkuE19pUg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403086558c0ab2c7:0x48a57d4db8a4b12a","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipNPu8DHsFBCkXwfFd_-Qt1-5GgQ5UbvO75zaVli=w203-h134-k-no","",""
"0x40307deaf5e87f99:0x4698951d10ce7122","","Elmlar Akademiyasi","Elmlar Akademiyasi, Firudin Aghayev, Baku, Azerbaijan","40.3750694","49.815097699999995","85","4.2","Asia/Baku","","ChIJmX_o9ep9MEARInHOEB2VmEY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307deaf5e87f99:0x4698951d10ce7122","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipMfhlFVL1gTyw4bG0XxHF1VbNDX2L80Qa6sPeG2=w203-h106-k-no","",""
"0x40307d081b1fb687:0x3e37b3f1d82548c8","","28 May metro stansiyas (DDYX)","28 May metro stansiyas (DDYX), Bak, Azerbaijan","40.37937","49.850749","","","Asia/Baku","","ChIJh7YfGwh9MEARyEgl2PGzNz4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307d081b1fb687:0x3e37b3f1d82548c8","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipONnfEinGI4Ah0wVRcTnhmY_-Y01fk-69J-_GFz=w203-h135-k-no","",""
"0x40308763c59cee03:0xa34f2c355916ab16","","naatlar","naatlar, Baku, Azerbaijan","40.3902539","49.8026844","78","4.4","Asia/Baku","","ChIJA-6cxWOHMEARFqsWWTUsT6M","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40308763c59cee03:0xa34f2c355916ab16","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipOCcm8Bfu6tvH_VMabpcM7PvHpgoJZ3uOI83jc1=w203-h134-k-no","",""
"0x403065004ae972fd:0xd5b9a319d77bae6","","Y18 Metro Stansiyas","9XCF+M77 Y18 Metro Stansiyas, Baku, Azerbaijan","40.3716529","49.973187499999995","","","Asia/Baku","","ChIJ_XLpSgBlMEAR5rp3nTGaWw0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403065004ae972fd:0xd5b9a319d77bae6","Transcription service","","","","","","","","","Baku, Azerbaijan","false","","",""
"0x403062ff74c69afb:0x60f1f93fc0998032","","R.Rstmov k. Neftilr metro stansiyas","R.Rstmov k. Neftilr metro stansiyas, Azerbaijan","40.410509","49.944601999999996","1","5","Asia/Baku","","ChIJ-5rGdP9iMEARMoCZwD_58WA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403062ff74c69afb:0x60f1f93fc0998032","Bus stop","","","","","","","","","Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipM4oMJOuBDNk4wVBbcCFIZ2OuqqplN_7dar-L7O=w203-h114-k-no","",""
"0x4030630fb013c713:0xbfac60c90dd3294b","","Xalqlar Dostluu metro stansiyas","Xalqlar Dostluu metro stansiyas, Bak, Azerbaijan","40.398877999999996","49.951308","","","Asia/Baku","","ChIJE8cTsA9jMEARSynTDclgrL8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030630fb013c713:0xbfac60c90dd3294b","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x4030879d93ad618d:0xf5062139e03ccdb1","","20 Yanvar metro stansiyas (AVF)","20 Yanvar metro stansiyas (AVF), Bak, Azerbaijan","40.404159","49.808958","9","4.3","Asia/Baku","","ChIJjWGtk52HMEARsc084DkhBvU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030879d93ad618d:0xf5062139e03ccdb1","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x403087de34c21de1:0x283095de8805d6b6","","Azadlq metro stansiyas","Azadlq metro stansiyas, Bak, Azerbaijan","40.425224","49.841811","12","4.3","Asia/Baku","","ChIJ4R3CNN6HMEARttYFiN6VMCg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403087de34c21de1:0x283095de8805d6b6","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x40307d4ee9253a65:0x29160f1a81905e71","","Nariman Narimanov","Nariman Narimanov, Baku, Azerbaijan","40.4028298","49.870679599999995","136","4.4","Asia/Baku","","ChIJZTol6U59MEARcV6QgRoPFik","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307d4ee9253a65:0x29160f1a81905e71","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipM1O-2C9ajfrgDOFeuZXmksUh9oboA5-9JWMYjk=w203-h135-k-no","",""
